date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2014-01-02T00:00:00.000Z,1113.12,1117.75,1108.26,1115.46,3639100,27.844856161,27.9606762739,27.7232825653,27.903391596,145114657,0.0,1.0
2014-01-03T00:00:00.000Z,1105.0,1116.93,1104.93,1115.0,3330000,27.6417331985,27.9401638565,27.6399821385,27.8918846302,132788824,0.0,1.0
2014-01-06T00:00:00.000Z,1117.32,1118.86,1106.44,1113.01,3535000,27.9499197623,27.9884430828,27.6777550047,27.8421044953,140963511,0.0,1.0
2014-01-07T00:00:00.000Z,1138.86,1139.69,1121.16,1125.0,5100000,28.4887459461,28.509508515,28.0459779121,28.1420360619,203370271,0.0,1.0
2014-01-08T00:00:00.000Z,1141.23,1147.32,1133.29,1146.0,4480500,28.5480318354,28.7003740573,28.3494115987,28.6673540683,178666765,0.0,1.0
2014-01-09T00:00:00.000Z,1130.24,1144.22,1125.56,1143.44,4164800,28.273115412,28.6228271135,28.156044542,28.6033153018,166077746,0.0,1.0
2014-01-10T00:00:00.000Z,1130.18,1139.08,1122.25,1139.08,4282700,28.2716145035,28.4942492776,28.0732444181,28.4942492776,170779188,0.0,1.0
2014-01-13T00:00:00.000Z,1122.98,1146.91,1117.17,1126.47,4832900,28.0915054727,28.6901178486,27.9461674909,28.1788083223,192719252,0.0,1.0
2014-01-14T00:00:00.000Z,1149.4,1151.0,1128.09,1137.95,4960200,28.7524055551,28.7924297842,28.2193328542,28.4659821659,197795533,0.0,1.0
2014-01-15T00:00:00.000Z,1148.62,1155.0,1143.79,1152.99,3896400,28.7328937434,28.8924903568,28.6120706019,28.8422099191,155374887,0.0,1.0
2014-01-16T00:00:00.000Z,1156.22,1157.93,1148.0,1149.1,3364400,28.9230088315,28.9657847263,28.7173843547,28.7449010122,134160576,0.0,1.0
2014-01-17T00:00:00.000Z,1150.53,1160.63,1144.2,1156.85,5397100,28.7806726669,29.0333256129,28.6223268106,28.9387683717,215217586,0.0,1.0
2014-01-21T00:00:00.000Z,1163.7,1164.0,1151.3,1160.93,3955800,29.1101221024,29.1176266453,28.7999343271,29.0408301558,157743552,0.0,1.0
2014-01-22T00:00:00.000Z,1165.02,1167.89,1158.86,1166.61,3139600,29.1431420914,29.2149355522,28.9890488095,29.182916169,125196334,0.0,1.0
2014-01-23T00:00:00.000Z,1160.1,1162.49,1154.37,1160.0,3894300,29.020067587,29.0798537791,28.8767308166,29.0175660727,155291146,0.0,1.0
2014-01-24T00:00:00.000Z,1123.83,1153.54,1123.0,1151.01,7777200,28.1127683443,28.8559682478,28.0920057755,28.7926799356,310127701,0.0,1.0
2014-01-27T00:00:00.000Z,1101.23,1126.5,1082.27,1126.1,8698400,27.5474261088,28.1795587766,27.0731389944,28.1695527193,346861954,0.0,1.0
2014-01-28T00:00:00.000Z,1123.01,1125.75,1109.94,1110.32,4415900,28.092255927,28.1607974192,27.7653080058,27.7748137602,176090741,0.0,1.0
2014-01-29T00:00:00.000Z,1106.92,1121.75,1099.42,1119.12,4755000,27.6897622734,28.0607368466,27.5021486997,27.99494702,189612870,0.0,1.0
2014-01-30T00:00:00.000Z,1135.39,1152.49,1127.25,1145.0,10172600,28.4019433993,28.8297023475,28.198320134,28.6423389252,405647926,0.0,1.0
2014-01-31T00:00:00.000Z,1180.97,1186.54,1151.13,1171.35,11121400,29.5421336249,29.6814679723,28.7956817528,29.3014879476,443482772,0.0,1.0
2014-02-03T00:00:00.000Z,1133.43,1181.72,1132.0,1179.2,9129000,28.3529137187,29.5608949822,28.317142064,29.4978568215,364032786,0.0,1.0
2014-02-04T00:00:00.000Z,1138.16,1155.0,1137.01,1137.99,5618100,28.4712353459,28.8924903568,28.4424679313,28.4669827716,224030298,0.0,1.0
2014-02-05T00:00:00.000Z,1143.2,1150.77,1128.02,1143.38,4784200,28.5973116675,28.7866763012,28.2175817942,28.6018143932,190777265,0.0,1.0
2014-02-06T00:00:00.000Z,1159.96,1160.16,1147.55,1151.13,3889300,29.0165654669,29.0215684956,28.7061275402,28.7956817528,155091764,0.0,1.0
2014-02-07T00:00:00.000Z,1177.44,1177.9,1160.56,1167.63,5267100,29.4538301695,29.4653371353,29.0315745528,29.208431615,210033638,0.0,1.0
2014-02-10T00:00:00.000Z,1172.93,1182.4,1169.02,1171.8,3886500,29.3410118738,29.5779052796,29.243202664,29.312744762,154980109,0.0,1.0
2014-02-11T00:00:00.000Z,1190.18,1191.87,1172.21,1180.17,4097400,29.7725230934,29.8147986854,29.3230009707,29.5221215103,163390068,0.0,1.0
2014-02-12T00:00:00.000Z,1186.69,1190.0,1181.38,1189.0,3445500,29.6852202438,29.7680203676,29.5523898336,29.7430052245,137394562,0.0,1.0
2014-02-13T00:00:00.000Z,1199.9,1199.9,1179.66,1180.75,3669100,30.015670285,30.015670285,29.5093637873,29.5366302934,146310953,0.0,1.0
2014-02-14T00:00:00.000Z,1202.8,1204.39,1192.8,1195.61,4369000,30.0882142002,30.1279882778,29.8380627685,29.9083553208,174220532,0.0,1.0
2014-02-18T00:00:00.000Z,1210.88,1212.87,1200.0,1201.41,4213500,30.290336557,30.3401166919,30.0181717993,30.0534431512,168019733,0.0,1.0
2014-02-19T00:00:00.000Z,1202.34,1209.22,1197.5,1205.3,4202900,30.0767072343,30.2488114193,29.9556339414,30.1507520581,167597042,0.0,1.0
2014-02-20T00:00:00.000Z,1204.11,1206.88,1200.22,1203.14,3398100,30.1209840377,30.1902759843,30.0236751308,30.0967193489,135504415,0.0,1.0
2014-02-21T00:00:00.000Z,1203.79,1209.87,1202.84,1207.81,3720800,30.1129791919,30.2650712624,30.0892148059,30.2135400674,148372569,0.0,1.0
2014-02-24T00:00:00.000Z,1212.51,1220.16,1205.1,1205.36,3345200,30.3311112403,30.5224770855,30.1457490295,30.1522529667,133394947,0.0,1.0
2014-02-25T00:00:00.000Z,1220.0,1224.5,1210.42,1215.94,2874500,30.5184746626,30.6310428069,30.2788295911,30.4169131814,114625067,0.0,1.0
2014-02-26T00:00:00.000Z,1220.17,1228.88,1213.76,1224.0,3960400,30.522727237,30.7406091339,30.3623801693,30.6185352353,157926984,0.0,1.0
2014-02-27T00:00:00.000Z,1219.21,1224.24,1217.01,1218.39,2517400,30.4987126995,30.6245388697,30.4436793846,30.4782002821,100385161,0.0,1.0
2014-02-28T00:00:00.000Z,1215.65,1224.19,1206.22,1220.34,4622500,30.4096587899,30.6232881125,30.1737659898,30.5269798113,184329231,0.0,1.0
2014-03-03T00:00:00.000Z,1202.69,1207.84,1192.14,1206.75,4205300,30.0854625344,30.2142905217,29.821552774,30.1870240157,167692745,0.0,1.0
2014-03-04T00:00:00.000Z,1214.91,1216.0,1209.5,1215.0,2932400,30.3911475839,30.41841409,30.2558156594,30.3933989468,116933918,0.0,1.0
2014-03-05T00:00:00.000Z,1218.26,1223.08,1211.41,1215.05,2468100,30.4749483135,30.5955213036,30.3035945828,30.394649704,98419248,0.0,1.0
2014-03-06T00:00:00.000Z,1219.61,1226.14,1218.6,1222.28,2533600,30.5087187568,30.6720676417,30.4834534622,30.5755091891,101031160,0.0,1.0
2014-03-07T00:00:00.000Z,1214.79,1226.99,1211.44,1226.8,3027100,30.3881457667,30.6933305134,30.3043450371,30.6885776362,120710225,0.0,1.0
2014-03-10T00:00:00.000Z,1211.57,1217.64,1204.09,1215.69,2426700,30.3075970057,30.4594389248,30.1204837349,30.4106593956,96768360,0.0,1.0
2014-03-11T00:00:00.000Z,1199.99,1214.32,1196.64,1213.77,3422500,30.0179216479,30.3763886494,29.9341209183,30.3626303207,136477402,0.0,1.0
2014-03-12T00:00:00.000Z,1207.3,1207.85,1184.19,1196.4,3924600,30.2007823444,30.2145406732,29.6226823859,29.9281172839,156499405,0.0,1.0
2014-03-13T00:00:00.000Z,1189.06,1210.5,1184.76,1207.95,4686500,29.7445061331,30.2808308026,29.6369410175,30.2170421875,186881328,0.0,1.0
2014-03-14T00:00:00.000Z,1172.8,1190.87,1172.53,1181.99,4583200,29.3377599052,29.7897835422,29.3310058165,29.5676490709,182762084,0.0,1.0
